,authors,year,title,location
107,"Xue, G, Ghahremani, D,  Poldrack, RA",2007,Neural mechanisms underlying cognitive and response reversal,"Society for Neuroscience Abstracts, 454"
108,"Cohen, JR, Sabb, FW, Bilder, RM, Bookheimer, SY, Knowlton, BJ, Asarnow, RF,  Poldrack, RA",2007,Neural development of reward processing across adolescence,"Society for Neuroscience Abstracts, 866"
109,"London, ED, Lee, B, Tabibnia, G, Monterosso, JR, Farahi, J, Aron, AR, Poldrack, RA, Mandelkern, MA, Dahlbom, M, Bokarius, A, Brody, AL,  Bilder, RM",2007,Association of ventral striatal dopamine D2/D3 receptors with stop-signal reaction time,"Society for Neuroscience Abstracts, 910"
110,"Poldrack, RA",2007,Memory systems and category learning,"Talk presented at the European Conference on Visual Perception, Arezzo, Italy, August."
111,"Poldrack, RA",2007,Distinguishing category versus response learning using a reversal paradigm. ,"Talk presented at the Memory Disorders Research Society Annual Meeting, Cambridge, England, September."
112,"Cohen, JR, Sabb, FW, Bilder, RM, Bookheimer, SY, Knowlton, BJ, Asarnow, RF, Poldrack, RA",2007,Neural substrates of response inhibition in children examined using fMRI,"Organization for Human Brain Mapping Abstracts, \#11"
113,"Aron, AR, Behrens, TE, Frank, MJ, Smith S, Poldrack, RA",2007,Triangulating the network for cognitive control: A Combined Diffusion Tractography And Functional Imaging Study,"Organization for Human Brain Mapping Abstracts, \#1"
114,"Kalar, D, Poldrack, R, Parker, DS, Torvik, V, Smalheiser, N, Bilder, RM",2007,PubBrain: An interactive website for literature visualization and exploration,"Organization for Human Brain Mapping Abstracts, \#309"
115,"Mumford, J, Poldrack, R, Nichols T",2007,fMRIpower: A Power Calculation Tool for 2-Stage fMRI Models,"Organization for Human Brain Mapping Abstracts, \#328"
116,"Xue, G, Ghahremani, D, Poldrack RA",2007,Neural dissociations between response and cognitive reversal,"Organization for Human Brain Mapping Abstracts, \#66"
117,"Poldrack, RA",2007,What can (and can\~Ot) fMRI tell us about the brain.,"Talk presented at the California Science and the Law Institute Conference on Neurobiology and the Courts. Riverside, CA."
118,"Poldrack, RA",2006,Balancing risk and reward in decision making: An fmri study of the Balloon Analog Risk Task,"Talk presented at the Affect, Motivation, and Decision Making Conference, Ein Boqeq, Israel.  "
119,"Poldrack, RA",2006,"Skill acquisition, multiple memory systems, and cognitive control","Talk presented at the Rodin Remediation Academy Annual Meeting, Georgetown University, October."
120,"Poldrack, RA",2006,Learning-related changes during skill learning: Evidence for memory system interactions.,"Talk presented at the at the Marburg Conference on Neuroimaging and  Theories of Memory, Marburg, Germany,  July."
121,Poldrack RA,2006,Imaging skill learning using fMRI: Insights and challenges,"Talk presented at the John Merck Fund Summer Institute on the Biology of Developmental Disabilities, Princeton, June."
122,"Stover, ERS, Fox, CR, Trepel, C, Poldrack, RA",2006,The Neural Correlates of Decision Making Under Risk: an fMRI Study,"Organization for Human Brain Mapping Abstracts, \#379"
123,"Poldrack, RA, Smith, SM, Behrens, T, Todd, MT, Aron, AR",2006,The role of a \`Ohyperdirect\'O fronto-subthalamic pathway in response inhibition: Evidence from fMRI-seeded tractography and voxel-based FA analyses,"Organization for Human Brain Mapping Abstracts, \#567"
124,"Tohka, J, Foerde, K, Toga, AW, Poldrack, RA",2006,Automatic independent component labeling for artifact reduction in fMRI,"Organization for Human Brain Mapping Abstracts, \#594"
125,"O'Hare, ED, Lu, L, Bookheimer, SY, Kan, E, McCourt, ST, Poldrack, RA, Thompson, PM, Toga, AW, Sowell, ER",2006,Mapping Relationships Between Cortical Thickness and Cortical Activation During Verbal Working Memory in Normally Developing Children and Adolescents,"Organization for Human Brain Mapping Abstracts, \#418"
126,"Shattuck, DW, Hojatkashani, C, Mirza, M, Adisetiyo, V, Salamon, G, Narr, KL, Poldrack, RA, Bilder, RM, Toga, AW",2006,Construction of a 3D Probabilistic Atlas of Human Brain Structures,"Organization for Human Brain Mapping Abstracts, \#626"
127,"Tom, SM, Fox, CR, Trepel, C,  Poldrack, RA",2006,Neural responses to potential monetary gains and losses: An fMRI study of mixed-gamble acceptability,"Cognitive Neuroscience Society Abstracts, B141"
128,"Cohen, JR, Aron, AR  Poldrack, RA",2006,Effects of Training on Stop-Signal Inhibition,"Cognitive Neuroscience Society Abstracts, B124"
129,"Aron, AR , Robbins, T W ,  Poldrack, R A",2006,When is the striatum engaged by response inhibition,"Cognitive Neuroscience Society Abstracts, B125"
130,"Stover, E, Fox, CR, Trepel, C,  Poldrack, RA",2006,Balancing Risk and Reward: Functional Neuroimaging of the Balloon Analogue Risk Task,"Cognitive Neuroscience Society Abstracts, F18"
131,"Xue G  Poldrack, RA",2006,", The Neural Substrates of Orthographic Learning: an Examination of the VWFA Hypothesis","Cognitive Neuroscience Society Abstracts, G57"
132,RAPoldrack; ARAron; DShohamy; CEMyers; MAGluck,2005,"Midbrain And Ventral Striatum Show Opposite Responses To Outcome Uncertainty During Performance    Society for Neuroscience Abstracts, 192",18
133,DGGhahremani; RAPoldrack,2005,Comparing The Influences Of Informational Feedback And Monetary Reward On Probabilistic Classification Learning: An fMRI Study,"Society for Neuroscience Abstracts, 192"
134,JRCohen; RAPoldrack,2005,Automaticity Does Not Impair Response Inhibition,"Society for Neuroscience Abstracts, 314"
135,ARAron; RAPoldrack,2005,The Subcortical Basis Of Stop-Signal Response Inhibition,"Society for Neuroscience Abstracts, 534"
136,KEFoerde; BJKnowlton; RAPoldrack,2005,Secondary Task Effects On Classification Learning Examined Using fMRI,"Society for Neuroscience Abstracts, 581"
137,"Poldrack, RA, Aron, AR,  Tom, S",2005,fMRI artifact removal using independent components analysis: Effects on group-level statistics,"Human Brain Mapping, \#538"
138,"Aron, AR, Wu, A, Koski, L, Lin, C-H, Newman, P, Iacoboni, M,  Poldrack, RA",2005,Image-guided single-pulse transcranial magnetic stimulation of lateral prefrontal cortex during response inhibition,"Human Brain Mapping, \#1353"
139,"Poldrack, RA",2005,Methodological and conceptual challenges for developmental fMRI,"Talk presented at the Amsterdam Conference on Developmental Cogntiive Neuroscience, Amsterdam"
140,"Poldrack, RA",2005,The development of phonological awareness,"Talk presented at the Amsterdam Conference on Developmental Cogntiive Neuroscience, Amsterdam"
141,"Poldrack, R A",2005,The organization of cognitive functions in the left inferior prefrontal cortex,"Talk presented at the Cognitive Neuroscience Society Annual Meeting, New York"
142,"Aron, AR,  Tom, SM, Shohamy, D, Myers, CE, Gluck, MA, Poldrack, RA",2004,Comparing probabilistic and deterministic classification using fMRI: role of basal ganglia and medial temporal lobe,"Society for Neuroscience Abstracts, 201"
143,"Cazalis, F, Tom, SM, Reger, M, Stover, E, Turner, KL,  Poldrack, RA",2004,Event-related fMRI study of mirror reading skill acquisition,"Society for Neuroscience Abstracts,369"
144,"Engel, SA,  Poldrack, RA",2004,An Undergraduate Laboratory Class in Functional Neuroimaging,"Society for Neuroscience Abstracts,29"
145,"Raizada, R D  Poldrack, R A",2004,Probing the structure of phonetic categories in the human brain,"Cognitive Neuroscience Society Abstracts, B133"
146,"Foerde, K, Sabb, F, Bookheimer, S Y, Knowlton, B J, Asarnow, R,  Poldrack, R A",2004,Changes in functional connectivity during motor sequence learning,"Cognitive Neuroscience Society Abstracts, C52"
147,"Aron, AR, Rodriguez, P,  Poldrack, R A",2004,Ventral striatal activity correlates with prediction error from neural network model,"Cognitive Neuroscience Society Abstracts, C115"
148,"Shohamy, D, Myers, C E, Aron, A, Poldrack, R A, Dindwall, V, El-Shammaa, N, Sage, J, Gluck, MA",2004,Probabilistic and deterministic category learning in Parkinson\~Os disease,"Cognitive Neuroscience Society Abstracts, D98"
149,"Poldrack, R A",2003,Neural systems for rapid naming and phonological awareness,"Talk presented at the International Dyslexia Association annual meeting, San Diego"
150,"Poldrack, R A",2003,Interactive memory systems in humans,"Talk presented at the SFN Pre-Symposium on Interactive Memory Systems, New Orleans"
151,"Aron, AR, Shohamy, D, Rodriguez, P, Clark, J, Myers, C, Gluck, MA,  Poldrack, RA",2003,Activity in human substantia nigra increases with increasing uncertainty of feedback,"Society for Neuroscience Abstracts, 400"
152,"Rodriguez, PF  Poldrack, RA",2003,Path analysis of cortical-subcortical interactions in category learning with fMRI,"Society for Neuroscience Abstracts, 400"
153,"Raizada, RD  Poldrack, RA",2003,"Difficult, unpredictable trials coactivate noradrenergic and frontal attentional systems","Society for Neuroscience Abstracts, 401"
154,"Poldrack, RA, Sabb, F, Foerde, K, Tom, S, O'Hare, E, Bookheimer, SY, Knowlton, BJ,  Asarnow, RF",2003,Automaticity in motor sequence leanring examined using fMRI,"Society for Neuroscience Abstracts, 443"
