,authors,year,title,location
155,"Lai, I, Hoge, R, Greenberg, JE, Greve, D, Vangel, M, Poldrack, R,  Gollub, R",2003,Teaching statistical analysis of fMRI data: an online resource,"Human Brain Mapping, 2003"
156,"Misra, M, Katzir, T, Wolf, M,  Poldrack, R A",2003,Neural systems specialized for phonological versus orthographic analysis using fMRI,"Cognitive Neuroscience Society Abstracts, C137"
157,"Shohamy, D, Myers, C E, Grossman, S, Sage, J, Poldrack, R A, Gluck, M A",2003,Spared or impaired classification learning in Parkinson's disease as a function of the feedback structure of the task,"Cognitive Neuroscience Society Abstracts, C205"
158,"Foerde, K, Sabb, F, Shohamy, D, Myers, C E, Gluck, M A, Bookheimer, S, Asarnow, R, Poldrack, R A,  Knowlton, B J",2003,Effect of secondary task on probabilistic classification task performance,"Cognitive Neuroscience Society Abstracts, E209"
159,"Lai, I, Gollub, R, Hoge, R, Greve, D, Vangel, M, Poldrack, R A,  Greenberg, J E",2002,Teaching statistical analysis of fMRI data,American Society for Engineering Education Annual Meeting
160,"Poldrack, R A",2002,Functional imaging of of classification learning.,"Talk presented at the NIPS Workshop on Foundations and Modeling in Neuroimaging, Whistler, BC. "
161,"Poldrack, R A, Clark, J, Shohamy, D, Myers, C,  Gluck,MA",2002,Feedback-related activity during probabilistic classification learning examined using event-related fMRI,"Society for Neuroscience Abstracts, 20"
162,"Raizada, R D,  Poldrack, R A",2002,Adaptation-fMRI of categorical processing of speech,"Society for Neuroscience Abstracts, 17"
163,"Alvarez, RP, Jasdzewski, G,  Poldrack, R A",2002,Building memories in two languages: An fMRI study of episodic encoding in bilinguals,"Society for Neuroscience Abstracts, 179"
164,"Poldrack, R A",2002,The neural basis of skill learning.,"Talk presented at the Memory Disorders Research Society Annual Meeting, San Francisco."
165,"Poldrack, R A",2002, The role of the basal ganglia in category learning.,"Talk presented at the First Cognitive Neuroscience of Category Learning Conference, New York."
166,"Poldrack, R A, Clark, J, Shohamy, D, Myers, C,  Gluck, M A",2002,Separating stimulus-related and feedback-related activity during categorization learning using event-related fMRI,Cognitive Neuroscience Society Abstracts
167,"Jasdzewski, G, Strangman, G, Wagner, J, Kwong, K, Boas, D,  Poldrack, RA",2002,"Now You See It, Now You Don't: The Initial Dip As Seen/Not Seen By Near-Infrared Spectroscopy", Cognitive Neuroscience Society Abstracts
168,"Alvarez, RP, Jasdzewski, G,  Poldrack, RA",2002,Cross-Language Priming In Left Inferior Prefrontal Cortex: FMRI Support For Decreased Semantic Control And Increased Automaticity Of Semantic Processing, Cognitive Neuroscience Society Abstracts
169,"Pare-Blagoev, EJ, Cestnick, L, Rose, LT, Clark,J, Misra,M, Katzir-Cohen, T, Hook, P, Jones, SD, Galaburda, A, Marantz, A,  Poldrack, RA",2002,The neural basis of phonological awareness in normal-reading children examined using fMRI,Cognitive Neuroscience Society Abstracts
170,"Boas, D A, Jasdzewski, G, Strangman, G, Culver, JP,  Poldrack, RA,",2002,Hemodynamic modeling for event-related motor and visual stimuli as measured by near-infrared spectroscopy, International Society for Magnetic Resonance in Medicine
171,"Boas, D A, Jasdzewski, G, Strangman, G, Culver, JP,  Poldrack, RA,",2002,Modeling of the hemodynamic response for event-related motor and visual stimuli as measured by near-infrared spectroscopy, Optical Society of America
172,"Poldrack, R A",2001,Reading and the brain: New directions for diagnosis and treatment,"Talk presented at the 17th Annual Learning Differences Conference, Cambridge, MA."
173,"Poldrack, R A",2001,The neural basis of reading and dyslexia: Evidence from magnetic resonance imaging,"Talk presented at the fourth Annual Japanese-American Frontiers in Science Symposium, Tokyo, Japan. "
174,"Poldrack, R A",2001,Imaging of perceptual and cognitive skill learning.,"Talk presented at the Third Annual International Conference on Memory, Valencia, Spain."
175,"Poldrack, R A, Clark, J, Shohamy, D, Creso Moyano, J, Myers, C E,  Gluck, M A",2001,Learning and reversal of probabilistic classification: An event-related fMRI study,"Society for Neuroscience Abstracts, 347"
176,"Raizada, R D S,  Poldrack, R A",2001,Event-related fMRI of audio-visual simultaneity perception,"Society for Neuroscience Abstracts, 511"
177,"O'Kane, G, Badre, D, Pare-Blagoev, J, Poldrack, R A,  Wagner, A D",2001,Left prefrontal processes subserving mnemonic control during semantic retrieval,"Society for Neuroscience Abstracts, 236"
178,"Misra, M, Katzir-Cohen, T, Clark, J, Wolf, M,  Poldrack, R A",2001,Neural systems for rapid automatized naming identified using fMRI,"Society for Neuroscience Abstracts, 119"
179,"E Temple, RA Poldrack, GK Deutsch, J Salidis, P Tallal, MM Merzenich, JDE Gabrieli",2001,Dyslexic children show neural and behavioral effects of remediation: Evidence from fMRI,"Society for Neuroscience Abstracts, 346"
180,"Tallal, P, Temple, E, Poldrack, R A, Deutsch, G K, Salidis, J, Merzenich, M M,  Gabrieli, J D E",2001,Disruption in neural processing of rapid acoustic stimuli in dyslexic children: An fMRI study of developmental dyslexia,"Society for Neuroscience Abstracts, 529"
181,"GT Stebbins, MC Carillo, D Medina, L deToledo - Morrell, T Klingberg, RA Poldrack, M Moseley, O Karni, RS Wilson, DA Bennett,  JDE Gabrieli",2001,"Frontal white matter integrity in aging and its relation to reasoning performance: a diffusion tensor imaging study Society for Neuroscience Abstracts, 456",3
182,"Poldrack, R A, Shohamy, D, Clark, J, Pare-Blagoev, J, Creso Moyano, J, Myers, C E,  Gluck, M A",2001,Competition between declarative and nondeclarative memory systems: Evidence from probabilistic classification," Cognitive Neuroscience Society Abstracts, 79B"
183,"Wagner, A D, Pare-Blagoev, J, Badre, D, Clark, J,  Poldrack, R A",2001,Functional contributions of left inferior prefrontal cortex: fMRI support for the controlled semantic retrieval hypothesis,"Cognitive Neuroscience Society Abstracts, 129A"
184,"Deutsch, GK, Temple, E, Linn, N, Miller, SL, Merzenich, MM, Tallal, P, Poldrack, RA, Salidis, J, Gabrieli, JDE",2001,"Language, reading, phonological processing, and their relationship to fMRI activation in children with dyslexia"," Cognitive Neuroscience Society Abstracts, 67C"
185,"Jasdzewski, G, Hespos, S, Gaudette, T, Thompson, J, Boas, D,  Poldrack, R A",2001,Imaging of prefrontal activation during a linguistic task using near-infrared spectroscopy,"Cognitive Neuroscience Society Abstracts, 59B"
186,"Stebbins, GT, Poldrack, RA, Klingberg, T, Carrillo, MC, Desmond, JE, Moseley, ME, Hedehus, M, Wilson, RS, Karni, G, Bennett, DA, deToledo-Morrell, L, Gabrieli, JDE",2001,Aging effects on white matter integrity and processing speed: A diffusion tensor imaging study,"Neurology, 56 (Suppl"
187,"Poldrack, R A",2000,fMRI studies of striatal and medial temporal lobe activation during category learning.,"Talk presented at the Memory Disorders Research Society Annual Meeting, Toronto."
188,"Poldrack, RA,  Gabrieli, J D E",2000,fMRI evidence for common neural substrates for skill learning and repetition priming,"Psychonomic Society Abstracts, submitted"
189,"Poldrack, R A",2000,A neural basis for reading skill: Evidence from microstructural brain imaging.,"Talk presented at the National Dyslexia Research Foundation Annual Conference, Elounda, Greece."
190,"Golby, AJ, Desmond, J E, Poldrack, R A, Spencer, D, Brewer, J B,  Gabrieli, J D E",2000,Novelty-associated mesial temporal lobe activation during memory encoding in patients with mesial temporal lobe epilepsy,"Society of Neuroscience Abstracts, submitted"
191,"Temple, E, Poldrack, RA, Salidis, J, Deutsch, G, Thomason, M, Tallal, P, Merzenich, MM,  Gabrieli, J D E",2000,Phonological processing in dyslexic children: An fMRI study,"Society of Neuroscience Abstracts, submitted"
192,"Wagner, AD, Pare-Blagoev, EJ, Clark, J,  Poldrack, R A",2000,Left prefrontal cortex and executive control: fMRI evidence for prefrontal sensitivity to associative strength and semantic retrieval demands,"Society of Neuroscience Abstracts, submitted"
193,"Poldrack, R A  Gabrieli, JDE",2000,Learning-related changes during acquisition of mirror-reading skill are not typography-specific: Evidence from fMRI,"Society of Neuroscience Abstracts, submitted"
194,"Poldrack, R A",2000,Brain Structure and Function: The Relation to Reading.,"Talk presented at the BrainConnection.com Brain Research and Learning Conference, San Francisco."
195,"Temple, E, Poldrack, R A, Salidis, J, Deutsch, G, Merzenich, M M, Tallal, P,  Gabrieli, J D E",2000,Functional magnetic resonance imaging (fMRI) of developmental dyslexia: Neural response to linguistic and nonlinguistic stimuli in dyslexic children.,"Poster presented at the Cognitive Neuroscience Society Annual Meeting, San Francisco."
196,"Vuilleumier, P, Hazeltine, E, Poldrack, R A, Sagiv, N, Rafal, R,  Gabrieli, J D E",2000,The neural fate of neglected faces: An event-related fMRI study of visual extinction.,"Poster presented at the Cognitive Neuroscience Society Annual Meeting, San Francisco."
197,"Golby, A J, Poldrack, R A, Spencer, D, Brewer, J B, Gabrieli, J D E",1999,Material-specific lateralization of novelty effects during memory encoding,"Society for Neuroscience Abstracts,258"
198,"Hazeltine, E, Poldrack, R A, Gabrieli, J D E,  Ivry, R",1999,Response competition induces increases in cerebral activation as revealed with fMRI,"Society for Neuroscience Abstracts,141"
199,"Klingberg, T, Hedehus, M, Temple, E, Salz, T, Gabrieli, J D E, Moseley, M E,  Poldrack, R A",1999,Reading ability is correlated with myelination of axons in the left temporo-parietal region of the brain,"Society for Neuroscience Abstracts,654"
200,"Temple, E, Poldrack, R A, Protopapas, A, Nagarajan, S, Tallal, P, Merzenich, M M, Gabrieli, J D E",1999,Disruption of linguistic and nonlinguistic processing in developmental dyslexia,"Society for Neuroscience Abstracts,724"
201,"Temple, E, Poldrack, R A, Protopapas, A, Nagarajan, S, Tallal, P, Merzenich, M M, Gabrieli, J D E",1999,Functional organization for rapid processing disrupted in dyslexics: An FMRI study,"Poster presented at the Cognitive Neuroscience Society Annual Meeting, 1999. "
202,"Poldrack, R A",1998,Multiple functional roles of the left inferior prefrontal cortex: Evidence from neuroimaging.,"Talk presented at the Academy of Aphasia Annual Meeting, November 1998, Santa Fe, NM."
203,"R A Poldrack, J C Hsieh,  J D E Gabrieli",1998,Striatal activation associated with visual skill learning and repetition priming examined using FMRI,"Society for Neuroscience Abstracts, 24, 408"
204,"Temple, E Poldrack, R A, Protopapas, A, Nagarajan, S, Tallal, P, Merzenich, M M,  Gabrieli, J D E",1998,Auditory processing of rapid stimuli and phonological processing of visual stimuli involve common brain areas in the left inferior frontal cortex,"Society for Neuroscience Abstracts, 24, 15"
205,"Gabrieli, J D E, Poldrack, R A,  Wagner, A D",1998,Material specific and nonspecific prefrontal activations associated with encoding and retrieval of episodic memories,"Society for Neuroscience Abstracts, 24, 302"
206,"Spencer, D C, Poldrack, R A, Vaidya, C J, Temple, E, Glover, G H, Zeifert, P, Thomander, D, Morrell, M J,  Gabrieli, J D E",1998,Functional brain organization following hemispherectomy using functional MRI.,"Poster presented at the American Epilepsy Society Annual Meeting, December 1998, San Diego, CA."
207,"Poldrack, R A, Protopapas, A, Nagarajan, S, Tallal, P, Merzenich, M M, Temple, E,  Gabrieli, J D E",1998,Auditory processing of temporally compressed speech: An FMRI study.,"Poster presented at the Cognitive Neuroscience Society Meeting, 1998."
208,"Poldrack, R A,  Church, B",1997,Auditory priming of new associations,"Psychonomic Society Abstracts, 2, 461"
209,"Seger, C A, Poldrack, R A, Prabakharan, V,  Gabrieli, J D E",1997,An fMRI study of visual concept learning,"Psychonomic Society Abstracts, 2, 670"
210,"Vaidya, C J, Poldrack, R A,  Gabrieli, J D E",1997,Dissociation between perceptual and conceptual new association priming,"Psychonomic Society Abstracts, 2, 63"
211,"Poldrack, R A, Prabakharan, V, Seger, C, Desmond, J E, Glover, G H,  Gabrieli, J D E",1997,Learning to classify probabilistically: Changes in cortical activity revealed by functional MRI,"Society For Neuroscience Abstracts, 23, 413"
212,"Wagner, AD, R A Poldrack, J E Desmond, G H Glover, and J D E Gabrieli",1997,An FMRI study of prefrontal activation during retrieval of verbal and nonverbal episodic memory,"Society For Neuroscience Abstracts, 23, 191"
213,"Prull, M, R A Poldrack, A D Wagner, J E Desmond,  G H Glover, and J D E Gabrieli",1997,Semantic and phonological processing in prefrontal cortex: An FMRI study,"Society For Neuroscience Abstracts, 23, 191"
214,"Prabakharan, V, Seger, C A, Poldrack, R A, Desmond, J E,  Gabrieli, J D E",1997,Neural correlates of categorical learning examined using fMRI,"Poster presented at the annual meeting of the Cognitive Science Society, Palo Alto."
215,"Seger, C A, Prabakharan, V, Poldrack, R A, Desmond, J E,  Gabrieli, J D E",1997,Implicit and explicit knowledge in artificial grammar learning: An fMRI study.,"Poster presented at the annual meeting of the Cognitive Science Society, Palo Alto."
216,"Poldrack, R A, Vaidya, C J, Palav, A,  Gabrieli, J D E",1996,Priming of new conceptual associations,"Psychonomic Society Abstracts,1, 293"
217,"Poldrack, R A, Desmond, J E, Glover, G H,  Gabrieli, J D E",1996,The neural basis of visual skill: An FMRI study of mirror reading,"Society For Neuroscience Abstracts,22, 289"
218,"Seger, C, Prabakharan, V, Poldrack, R A,  Gabrieli, J D E",1996,Judgment processes in artificial grammar learning: An fMRI study,"Psychonomic Society Abstracts, 1"
219,"Poldrack, R A,  Cohen, N J",1995,Can a single memory system support skill learning and priming.,"Poster presented at the annual meeting of the Psychonomic Society, Los Angeles."
220,"Poldrack, R A,  Cohen, N J",1995,Memory retrieval in sequence learning,"Paper presented at the annual meeting of the Midwest Psychological Association, Chicago."
221,"Selco, S L, Poldrack, R A,  Cohen, N J",1995,The nature of the representation supporting learning in a digit entering task,"Paper presented at the annual meeting of the Midwest Psychological Association, Chicago."
222,"Vaidya, CJ, Demb, JB, Keane, MM, Monti, LA, Cohen, NJ, Poldrack, RA,  Gabrieli, JDE",1994,The core memory deficit in amnesia is neither one of conceptual processing nor one of explicit retrieval,"Society for Neuroscience Abstracts, 20, 1289"
223,"Poldrack, R A, Selco, S L, Field, J E,  Cohen, N J",1994,Repetition effects from novice to expert.,"Poster presented at the annual meeting of the Psychonomic Society, St. Louis."
224,"Poldrack, R A,  Logan, G D",1994,Fluency and recognition: It's not that easy.,"Paper presented at the annual meeting of the Midwest Psychological Association, Chicago."
225,"Poldrack, R A, Selco, S L, Field, J E,  Cohen, N J",1994,Skill learning and repetition effects in a digit entering task. ,"Paper presented at the annual meeting of the Midwest Psychological Association, Chicago."
226,"Vaidya, CJ, Gabrieli, JDE, Keane, MM, Monti, LA, Cohen, NJ,  Poldrack, RA",1994,Is amnesia a selective impairment of conceptual processes.,"Poster presented at the First Annual Cognitive Neuroscience Conference, San Francisco."
227,"Dulany, D E,  Poldrack, R A",1991,Learned covariation: Conscious or unconscious representation.,"Paper presented at the annual meeting of the Psychonomic Society, San Francisco. "
